,tconst,primaryTitle,originalTitle,year,runtimeMinutes,genres,averageRating,numVotes
220,tt2402114,Forgive - Don't Forget,Forgive - Don't Forget,2018,69,"Documentary,History,War",6.7,62
221,tt2402578,Jimmy Jones,Jimmy Jones,2018,74,"Action,Crime,Drama",4.9,48
222,tt2404639,The Happy Prince,The Happy Prince,2018,105,"Biography,Drama",6.3,3604
223,tt2433118,For the Birds,For the Birds,2018,92,"Documentary,Drama",6.6,145
224,tt2445568,Outlawed,Outlawed,2018,102,Action,6.0,1424
225,tt2448130,The Housing Bubble,The Housing Bubble,2018,78,"Documentary,History,News",8.5,11
226,tt2458010,Sleeping Dogs Lie,Sleeping Dogs Lie,2018,73,"Drama,Mystery,Thriller",3.6,96
227,tt2459244,The Precipice,The Precipice,2018,86,"Action,Thriller,War",3.5,28
228,tt2463842,Blockbuster,Blockbuster,2018,85,Comedy,5.6,308
229,tt2470060,House on Rodeo Gulch,House on Rodeo Gulch,2018,95,"Comedy,Drama,Thriller",6.9,22
230,tt2482856,The Church,The Church,2018,81,"Horror,Thriller",2.8,114
231,tt2486792,My Country No More,My Country No More,2018,70,Documentary,6.7,51
232,tt2490148,Fury of the Fist and the Golden Fleece,Fury of the Fist and the Golden Fleece,2018,107,"Action,Comedy",3.1,153
233,tt2530316,Beauty & the Beholder,Beauty & the Beholder,2018,95,"Comedy,Drama,Romance",4.5,159
234,tt2531344,Blockers,Blockers,2018,102,Comedy,6.2,60593
235,tt2534642,Captain Morten and the Spider Queen,Captain Morten and the Spider Queen,2018,79,"Animation,Family",5.6,114
236,tt2548396,The Cloverfield Paradox,The Cloverfield Paradox,2018,102,"Drama,Horror,Mystery",5.5,86358
237,tt2556640,The Manure Film Project: A Crappy Documentary with Absolutely No Budget,The Manure Film Project: A Crappy Documentary with Absolutely No Budget,2018,90,Comedy,7.6,11
238,tt2557478,Pacific Rim: Uprising,Pacific Rim: Uprising,2018,111,"Action,Adventure,Sci-Fi",5.6,93611
239,tt2564088,Lo que podríamos ser,Lo que podríamos ser,2018,94,"Drama,Romance",5.5,58
240,tt2570500,Fonotune: An Electric Fairytale,Fonotune: An Electric Fairytale,2018,74,"Adventure,Comedy,Drama",6.7,408
241,tt2606314,Caretakers,Caretakers,2018,88,"Mystery,News,Thriller",7.3,208
242,tt2619512,The Big Take,The Big Take,2018,83,Thriller,7.0,2330
243,tt2639336,Greta,Greta,2018,98,"Drama,Mystery,Thriller",6.0,16259
244,tt2651724,Wastelander,Wastelander,2018,90,"Action,Adventure,Sci-Fi",2.6,148
245,tt2654536,Tomorrow,Tomorrow,2018,92,Drama,7.0,85
246,tt2657538,Collusions,Collusions,2018,82,"Crime,Drama,Thriller",7.3,10
247,tt2670882,Measure of a Man,Measure of a Man,2018,100,"Comedy,Drama",6.3,899
248,tt2677064,Vishwaroopam 2,Vishwaroopam 2,2018,145,"Action,Thriller",5.9,1949
249,tt2677722,City of Lies,City of Lies,2018,112,"Biography,Crime,Drama",6.3,3348
250,tt2690226,The Chaperone,The Chaperone,2018,103,Drama,6.3,437
251,tt2690634,The Bad Guys,The Bad Guys,2018,90,"Comedy,Drama",6.5,835
252,tt2700194,Forsaken,Prishelets,2018,95,"Adventure,Drama,Sci-Fi",3.1,141
253,tt2703882,Under the Knife,Under the Knife,2018,87,"Horror,Thriller",6.1,9
254,tt2704998,Game Night,Game Night,2018,100,"Action,Comedy,Crime",6.9,172662
255,tt2709692,The Grinch,The Grinch,2018,85,"Animation,Family,Fantasy",6.3,33383
256,tt2713980,Olympia,Olympia,2018,103,"Biography,Comedy,Documentary",7.7,11
257,tt2719752,Elevate,Elevate,2018,95,Drama,3.1,42
258,tt2728784,After Darkness,After Darkness,2018,98,"Drama,Family,Sci-Fi",3.3,400
259,tt2737304,Bird Box,Bird Box,2018,124,"Drama,Horror,Sci-Fi",6.6,235791
260,tt2759338,Dassehra,Dassehra,2018,131,"Action,Thriller",3.8,251
261,tt2762662,Better Start Running,Better Start Running,2018,92,"Action,Comedy",5.2,510
262,tt2766104,Ploey,Lói: Þú Flýgur Aldrei Einn,2018,83,"Adventure,Animation,Family",5.2,596
263,tt2771252,Pink Elephants,Pink Elephants,2018,92,Documentary,7.9,10
264,tt2787302,Message Man,Message Man,2018,91,"Action,Crime,Thriller",6.8,2087
265,tt2797930,Dead Love,Dead Love,2018,101,Horror,3.9,15
266,tt2798920,Annihilation,Annihilation,2018,115,"Adventure,Drama,Horror",6.9,242396
267,tt2802062,Ishqeria,Ishqeria,2018,118,"Comedy,Romance",4.2,138
268,tt2825596,The Pretenders,Pretenders,2018,95,Drama,5.9,63
269,tt2828344,Cemetery Tales: Tales from Morningview Cemetery,Cemetery Tales: Tales from Morningview Cemetery,2018,91,Horror,4.9,19
270,tt2837574,The Old Man & the Gun,The Old Man & the Gun,2018,93,"Biography,Comedy,Crime",6.7,31628
271,tt2838568,The More You Ignore Me,The More You Ignore Me,2018,98,Comedy,5.8,326
272,tt2850272,All Rise,All Rise,2018,98,Drama,6.2,59
273,tt2854926,Tag,Tag,2018,100,Comedy,6.5,93608
274,tt2873282,Red Sparrow,Red Sparrow,2018,140,"Action,Drama,Thriller",6.6,144671
275,tt2908486,Bieber Generation,Bieber Generation,2018,68,Documentary,9.2,16
276,tt2924392,Higher Power,Higher Power,2018,93,"Action,Sci-Fi,Thriller",5.4,2345
277,tt2924488,Hidden Peaks,Hidden Peaks,2018,107,"Action,Adventure,Drama",3.8,64
278,tt2936390,Battle Drone,Battle Drone,2018,93,"Action,Sci-Fi",5.7,2029
279,tt2948160,Corbin Nash,Corbin Nash,2018,94,"Action,Horror,Thriller",5.2,4370
280,tt2949654,Aasma,Aasma,2018,105,"Action,Crime,Drama",4.4,5
281,tt2966504,I'd Kill for You,I'd Kill for You,2018,85,"Comedy,Drama,Musical",4.6,83
282,tt2967856,Another Day of Life,Another Day of Life,2018,85,"Animation,Biography",7.3,1006
283,tt2977400,I Don't Speak English,Tongue Tied,2018,90,"Comedy,Drama",7.4,7
284,tt2981746,Being Frank: The Chris Sievey Story,Being Frank: The Chris Sievey Story,2018,105,"Documentary,Music",7.6,409
285,tt2987806,Don't Open Your Eyes,Don't Open Your Eyes,2018,105,"Drama,Horror",3.2,141
286,tt2990140,The Christmas Chronicles,The Christmas Chronicles,2018,104,"Adventure,Comedy,Family",7.1,36008
287,tt2993848,Iceman: The Time Traveller,Bing feng: Yong heng zhi men,2018,104,"Action,Comedy,History",3.7,569
288,tt3024324,Kill Game,Kill Game,2018,102,Horror,3.9,563
289,tt3027994,A Lonely Woman,A Lonely Woman,2018,105,"Action,Crime,Drama",3.2,94
290,tt3034316,L.A.: A Queer History,L.A.: A Queer History,2018,16,Documentary,7.8,6
